0.284	0.284	1
0.362	0.362	2
0.459	0.459	3
0.575	0.575	4
0.601	0.601	5
0.665	0.665	6
0.702	0.702	7
0.782	0.782	8
0.837	0.837	9
1.012	1.012	10
1.071	1.071	11
1.116	1.116	12
1.181	1.181	13
1.330	1.330	14
1.482	1.482	15
1.557	1.557	16
1.577	1.577	17
1.740	1.740	18
1.998	1.998	19
2.014	2.014	20
2.121	2.121	21
2.276	2.276	22
2.319	2.319	23
2.330	2.330	24
2.360	2.360	25
2.430	2.430	26
2.441	2.441	27
2.450	2.450	28
2.488	2.488	29
2.566	2.566	30
2.573	2.573	31
2.598	2.598	32
3.003	3.003	33
3.035	3.035	34
3.079	3.079	35
3.140	3.140	36
3.267	3.267	37
3.463	3.463	38
3.497	3.497	39
3.594	3.594	40
3.610	3.610	41
3.660	3.660	42
3.675	3.675	43
3.685	3.685	44
3.741	3.741	45
3.805	3.805	46
3.858	3.858	47
3.891	3.891	48
3.995	3.995	49
4.033	4.033	50
4.073	4.073	51
4.159	4.159	52
4.293	4.293	53
4.395	4.395	54
4.444	4.444	55
4.518	4.518	56
4.598	4.598	57
4.689	4.689	58
4.945	4.945	59
4.957	4.957	60
5.008	5.008	61
5.048	5.048	62
5.197	5.197	63
5.226	5.226	64
5.238	5.238	65
5.266	5.266	66
5.360	5.360	67
5.714	5.714	68
5.767	5.767	69
6.117	6.117	70
6.216	6.216	71
6.320	6.320	72
6.390	6.390	73
6.442	6.442	74
6.654	6.654	75
6.947	6.947	76
7.089	7.089	77
7.197	7.197	78
7.220	7.220	79
7.286	7.286	80
7.300	7.300	81
7.503	7.503	82
7.603	7.603	83
7.781	7.781	84
7.837	7.837	85
7.942	7.942	86
8.054	8.054	87
8.089	8.089	88
8.155	8.155	89
8.262	8.262	90
8.319	8.319	91
8.467	8.467	92
8.654	8.654	93
8.706	8.706	94
8.813	8.813	95
8.894	8.894	96
8.908	8.908	97
9.061	9.061	98
9.124	9.124	99
9.182	9.182	100
9.264	9.264	101
9.339	9.339	102
9.458	9.458	103
9.496	9.496	104
9.539	9.539	105
9.658	9.658	106
9.680	9.680	107
9.724	9.724	108
9.899	9.899	109
9.948	9.948	110
10.007	10.007	111
10.160	10.160	112
10.221	10.221	113
10.241	10.241	114
10.467	10.467	115
10.478	10.478	116
10.538	10.538	117
10.666	10.666	118
10.807	10.807	119
10.832	10.832	120
10.933	10.933	121
10.946	10.946	122
11.008	11.008	123
11.028	11.028	124
11.060	11.060	125
11.189	11.189	126
11.492	11.492	127
11.539	11.539	128
11.637	11.637	129
11.732	11.732	130
11.800	11.800	131
11.870	11.870	132
11.962	11.962	133
12.049	12.049	134
12.126	12.126	135
12.185	12.185	136
12.355	12.355	137
12.429	12.429	138
12.575	12.575	139
12.713	12.713	140
12.818	12.818	141
12.853	12.853	142
12.922	12.922	143
13.071	13.071	144
13.145	13.145	145
13.325	13.325	146
13.350	13.350	147
13.576	13.576	148
13.678	13.678	149
13.687	13.687	150
13.698	13.698	151
13.807	13.807	152
13.968	13.968	153
14.308	14.308	154
14.391	14.391	155
14.522	14.522	156
14.545	14.545	157
14.568	14.568	158
14.581	14.581	159
14.620	14.620	160
14.632	14.632	161
14.669	14.669	162
14.840	14.840	163
14.870	14.870	164
15.017	15.017	165
15.176	15.176	166
15.292	15.292	167
15.379	15.379	168
15.547	15.547	169
15.562	15.562	170
15.842	15.842	171
15.991	15.991	172
16.066	16.066	173
16.318	16.318	174
16.352	16.352	175
16.504	16.504	176
16.526	16.526	177
16.667	16.667	178
16.777	16.777	179
16.801	16.801	180
16.908	16.908	181
17.037	17.037	182
17.492	17.492	183
17.624	17.624	184
17.741	17.741	185
17.786	17.786	186
17.835	17.835	187
17.870	17.870	188
17.988	17.988	189
18.016	18.016	190
18.255	18.255	191
18.262	18.262	192
18.363	18.363	193
18.408	18.408	194
18.494	18.494	195
18.563	18.563	196
18.791	18.791	197
19.016	19.016	198
19.040	19.040	199
19.077	19.077	200
19.123	19.123	201
19.138	19.138	202
19.151	19.151	203
19.206	19.206	204
19.496	19.496	205
19.727	19.727	206
19.765	19.765	207
19.925	19.925	208
